PARTICIPATION epoch=200107, participation=0.9706843453517169
LEDGER t=6403505 tip=6403424, quorum=0.5
PARTICIPATION epoch=200108, participation=0.9939648642271851
LEDGER t=6403537 tip=6403456, quorum=0.5
PARTICIPATION epoch=200109, participation=0.994472305648147
LEDGER t=6403569 tip=6403488, quorum=0.5
PARTICIPATION epoch=200110, participation=0.9804118096812706
LEDGER t=6403601 tip=6403519, quorum=0.5
PARTICIPATION epoch=200111, participation=0.9952138256221761
LEDGER t=6403633 tip=6403552, quorum=0.5
PARTICIPATION epoch=200112, participation=0.9989480350607673
LEDGER t=6403665 tip=6403584, quorum=0.5
PARTICIPATION epoch=200113, participation=1
LEDGER t=6403697 tip=6403616, quorum=0.5
PARTICIPATION epoch=200114, participation=1
LEDGER t=6403729 tip=6403648, quorum=0.5
PARTICIPATION epoch=200115, participation=1
LEDGER t=6403760 tip=6403680, quorum=0.5
PARTICIPATION epoch=200116, participation=1
LEDGER t=6403793 tip=6403712, quorum=0.5
PARTICIPATION epoch=200117, participation=1
LEDGER t=6403825 tip=6403744, quorum=0.5
PARTICIPATION epoch=200118, participation=0.9995973421031159
LEDGER t=6403857 tip=6403776, quorum=0.5
PARTICIPATION epoch=200119, participation=1
LEDGER t=6403889 tip=6403808, quorum=0.5
PARTICIPATION epoch=200120, participation=1
LEDGER t=6403921 tip=6403840, quorum=0.5
PARTICIPATION epoch=200121, participation=1
LEDGER t=6403952 tip=6403872, quorum=0.5
PARTICIPATION epoch=200122, participation=1
LEDGER t=6403984 tip=6403904, quorum=0.5
PARTICIPATION epoch=200123, participation=1
LEDGER t=6404018 tip=6403936, quorum=0.5
PARTICIPATION epoch=200124, participation=1
LEDGER t=6404049 tip=6403968, quorum=0.5
PARTICIPATION epoch=200125, participation=0.9675138787889537
LEDGER t=6404080 tip=6404000, quorum=0.5
PARTICIPATION epoch=200126, participation=1
LEDGER t=6404112 tip=6404032, quorum=0.5
PARTICIPATION epoch=200127, participation=1
LEDGER t=6404145 tip=6404064, quorum=0.5
PARTICIPATION epoch=200128, participation=1
LEDGER t=6404176 tip=6404096, quorum=0.5
PARTICIPATION epoch=200129, participation=0.9995335572731368
LEDGER t=6404209 tip=6404128, quorum=0.5
PARTICIPATION epoch=200130, participation=1
LEDGER t=6404241 tip=6404160, quorum=0.5
PARTICIPATION epoch=200131, participation=0.9993526739001664
LEDGER t=6404273 tip=6404192, quorum=0.5
PARTICIPATION epoch=200132, participation=0.9997322058787017
LEDGER t=6404305 tip=6404224, quorum=0.5
PARTICIPATION epoch=200133, participation=0.9999290621663705
LEDGER t=6404337 tip=6404256, quorum=0.5
PARTICIPATION epoch=200134, participation=0.9998386187181006
LEDGER t=6404369 tip=6404288, quorum=0.5
PARTICIPATION epoch=200135, participation=1
LEDGER t=6404401 tip=6404320, quorum=0.5
PARTICIPATION epoch=200136, participation=0.9994201078918528
LEDGER t=6404433 tip=6404351, quorum=0.5
PARTICIPATION epoch=200137, participation=0.9996949813796773
LEDGER t=6404465 tip=6404384, quorum=0.5
PARTICIPATION epoch=200138, participation=0.9995637586272939
LEDGER t=6404497 tip=6404416, quorum=0.5
PARTICIPATION epoch=200139, participation=0.9998794146645954
LEDGER t=6404529 tip=6404448, quorum=0.5
PARTICIPATION epoch=200140, participation=0.9991807406671821
LEDGER t=6404561 tip=6404480, quorum=0.5
PARTICIPATION epoch=200141, participation=0.9991310993720863
LEDGER t=6404593 tip=6404512, quorum=0.5
PARTICIPATION epoch=200142, participation=0.9992871569442794
LEDGER t=6404625 tip=6404544, quorum=0.5
PARTICIPATION epoch=200143, participation=0.9967177766705028
LEDGER t=6404657 tip=6404576, quorum=0.5
PARTICIPATION epoch=200144, participation=0.9827911801473522
LEDGER t=6404689 tip=6404608, quorum=0.5
PARTICIPATION epoch=200145, participation=0.9991683851600194
LEDGER t=6404721 tip=6404640, quorum=0.5
