LEDGER t=6399231 tip=6399136, quorum=0.95
LEDGER t=6399231 tip=6399136, quorum=0.96
LEDGER t=6399232 tip=6399136, quorum=0.97
LEDGER t=6399232 tip=6399136, quorum=0.98
LEDGER t=6399232 tip=6399136, quorum=0.99
LEDGER t=6399254 tip=6399168, quorum=0.67
LEDGER t=6399258 tip=6399168, quorum=0.8
LEDGER t=6399261 tip=6399168, quorum=0.9
LEDGER t=6399263 tip=6399168, quorum=0.95
LEDGER t=6399263 tip=6399168, quorum=0.96
LEDGER t=6399264 tip=6399168, quorum=0.97
LEDGER t=6399264 tip=6399168, quorum=0.98
LEDGER t=6399264 tip=6399168, quorum=0.99
LEDGER t=6399286 tip=6399200, quorum=0.67
LEDGER t=6399290 tip=6399200, quorum=0.8
LEDGER t=6399293 tip=6399200, quorum=0.9
LEDGER t=6399295 tip=6399200, quorum=0.95
LEDGER t=6399295 tip=6399200, quorum=0.96
LEDGER t=6399296 tip=6399200, quorum=0.97
LEDGER t=6399296 tip=6399200, quorum=0.98
LEDGER t=6399296 tip=6399200, quorum=0.99
LEDGER t=6399318 tip=6399232, quorum=0.67
LEDGER t=6399322 tip=6399232, quorum=0.8
LEDGER t=6399325 tip=6399232, quorum=0.9
LEDGER t=6399327 tip=6399232, quorum=0.95
LEDGER t=6399327 tip=6399232, quorum=0.96
LEDGER t=6399328 tip=6399232, quorum=0.97
LEDGER t=6399328 tip=6399232, quorum=0.98
LEDGER t=6399328 tip=6399232, quorum=0.99
LEDGER t=6399350 tip=6399264, quorum=0.67
LEDGER t=6399354 tip=6399264, quorum=0.8
LEDGER t=6399358 tip=6399264, quorum=0.9
LEDGER t=6399359 tip=6399264, quorum=0.95
LEDGER t=6399360 tip=6399264, quorum=0.96
LEDGER t=6399360 tip=6399264, quorum=0.97
LEDGER t=6399360 tip=6399264, quorum=0.98
LEDGER t=6399360 tip=6399264, quorum=0.99
LEDGER t=6399382 tip=6399296, quorum=0.67
LEDGER t=6399386 tip=6399296, quorum=0.8
LEDGER t=6399390 tip=6399296, quorum=0.9
LEDGER t=6399391 tip=6399296, quorum=0.95
LEDGER t=6399391 tip=6399296, quorum=0.96
LEDGER t=6399392 tip=6399296, quorum=0.97
LEDGER t=6399392 tip=6399296, quorum=0.98
