LEDGER t=5973304 tip=5973216, quorum=0.75
LEDGER t=5973308 tip=5973216, quorum=0.85
LEDGER t=5973335 tip=5973247, quorum=0.7
LEDGER t=5973337 tip=5973247, quorum=0.75
LEDGER t=5973341 tip=5973247, quorum=0.85
LEDGER t=5973367 tip=5973280, quorum=0.7
LEDGER t=5973369 tip=5973280, quorum=0.75
LEDGER t=5973372 tip=5973280, quorum=0.85
LEDGER t=5973399 tip=5973312, quorum=0.7
LEDGER t=5973400 tip=5973312, quorum=0.75
LEDGER t=5973404 tip=5973312, quorum=0.85
LEDGER t=5973431 tip=5973344, quorum=0.7
LEDGER t=5973433 tip=5973344, quorum=0.75
LEDGER t=5973436 tip=5973344, quorum=0.85
LEDGER t=5973463 tip=5973376, quorum=0.7
LEDGER t=5973464 tip=5973376, quorum=0.75
LEDGER t=5973468 tip=5973376, quorum=0.85
LEDGER t=5973495 tip=5973408, quorum=0.7
LEDGER t=5973497 tip=5973408, quorum=0.75
LEDGER t=5973500 tip=5973408, quorum=0.85
LEDGER t=5973527 tip=5973440, quorum=0.7
LEDGER t=5973528 tip=5973440, quorum=0.75
LEDGER t=5973532 tip=5973440, quorum=0.85
LEDGER t=5973559 tip=5973471, quorum=0.7
LEDGER t=5973560 tip=5973471, quorum=0.75
LEDGER t=5973564 tip=5973471, quorum=0.85
LEDGER t=5973591 tip=5973504, quorum=0.7
LEDGER t=5973592 tip=5973504, quorum=0.75
LEDGER t=5973596 tip=5973504, quorum=0.85
LEDGER t=5973623 tip=5973536, quorum=0.7
LEDGER t=5973625 tip=5973536, quorum=0.75
LEDGER t=5973628 tip=5973536, quorum=0.85
LEDGER t=5973655 tip=5973568, quorum=0.7
LEDGER t=5973657 tip=5973568, quorum=0.75
LEDGER t=5973660 tip=5973568, quorum=0.85
LEDGER t=5973687 tip=5973600, quorum=0.7
LEDGER t=5973689 tip=5973600, quorum=0.75
LEDGER t=5973693 tip=5973600, quorum=0.85
LEDGER t=5973719 tip=5973632, quorum=0.7
LEDGER t=5973721 tip=5973632, quorum=0.75
LEDGER t=5973724 tip=5973632, quorum=0.85
LEDGER t=5973751 tip=5973664, quorum=0.7
LEDGER t=5973752 tip=5973664, quorum=0.75
LEDGER t=5973756 tip=5973664, quorum=0.85
LEDGER t=5973783 tip=5973696, quorum=0.7
LEDGER t=5973785 tip=5973696, quorum=0.75
LEDGER t=5973788 tip=5973696, quorum=0.85
LEDGER t=5973815 tip=5973728, quorum=0.7
LEDGER t=5973816 tip=5973728, quorum=0.75
LEDGER t=5973820 tip=5973728, quorum=0.85
LEDGER t=5973847 tip=5973760, quorum=0.7
LEDGER t=5973849 tip=5973760, quorum=0.75
LEDGER t=5973852 tip=5973760, quorum=0.85
LEDGER t=5973880 tip=5973792, quorum=0.7
LEDGER t=5973881 tip=5973792, quorum=0.75
LEDGER t=5973884 tip=5973792, quorum=0.85
LEDGER t=5973911 tip=5973824, quorum=0.7
LEDGER t=5973912 tip=5973824, quorum=0.75
LEDGER t=5973916 tip=5973824, quorum=0.85
LEDGER t=5973943 tip=5973856, quorum=0.7
LEDGER t=5973945 tip=5973856, quorum=0.75
LEDGER t=5973948 tip=5973856, quorum=0.85
LEDGER t=5973975 tip=5973888, quorum=0.7
LEDGER t=5973977 tip=5973888, quorum=0.75
LEDGER t=5973980 tip=5973888, quorum=0.85
LEDGER t=5974007 tip=5973920, quorum=0.7
LEDGER t=5974009 tip=5973920, quorum=0.75
LEDGER t=5974012 tip=5973920, quorum=0.85
LEDGER t=5974039 tip=5973952, quorum=0.7
LEDGER t=5974041 tip=5973952, quorum=0.75
LEDGER t=5974044 tip=5973952, quorum=0.85
LEDGER t=5974071 tip=5973984, quorum=0.7
LEDGER t=5974073 tip=5973984, quorum=0.75
LEDGER t=5974076 tip=5973984, quorum=0.85
LEDGER t=5974103 tip=5974016, quorum=0.7
LEDGER t=5974105 tip=5974016, quorum=0.75
LEDGER t=5974108 tip=5974016, quorum=0.85
LEDGER t=5974135 tip=5974048, quorum=0.7
LEDGER t=5974137 tip=5974048, quorum=0.75
LEDGER t=5974140 tip=5974048, quorum=0.85
LEDGER t=5974167 tip=5974080, quorum=0.7
LEDGER t=5974169 tip=5974080, quorum=0.75
LEDGER t=5974172 tip=5974080, quorum=0.85
LEDGER t=5974199 tip=5974112, quorum=0.7
LEDGER t=5974200 tip=5974112, quorum=0.75
LEDGER t=5974204 tip=5974112, quorum=0.85
LEDGER t=5974231 tip=5974144, quorum=0.7
LEDGER t=5974232 tip=5974144, quorum=0.75
LEDGER t=5974237 tip=5974144, quorum=0.85
LEDGER t=5974264 tip=5974176, quorum=0.7
LEDGER t=5974265 tip=5974176, quorum=0.75
LEDGER t=5974269 tip=5974176, quorum=0.85
LEDGER t=5974295 tip=5974208, quorum=0.7
LEDGER t=5974297 tip=5974208, quorum=0.75
LEDGER t=5974300 tip=5974208, quorum=0.85
LEDGER t=5974327 tip=5974240, quorum=0.7
LEDGER t=5974329 tip=5974240, quorum=0.75
LEDGER t=5974332 tip=5974240, quorum=0.85
LEDGER t=5974359 tip=5974272, quorum=0.7
LEDGER t=5974361 tip=5974272, quorum=0.75
LEDGER t=5974364 tip=5974272, quorum=0.85
LEDGER t=5974391 tip=5974304, quorum=0.7
LEDGER t=5974393 tip=5974304, quorum=0.75
LEDGER t=5974396 tip=5974304, quorum=0.85
LEDGER t=5974423 tip=5974336, quorum=0.7
LEDGER t=5974425 tip=5974336, quorum=0.75
LEDGER t=5974428 tip=5974336, quorum=0.85
LEDGER t=5974455 tip=5974368, quorum=0.7
LEDGER t=5974456 tip=5974368, quorum=0.75
LEDGER t=5974460 tip=5974368, quorum=0.85
LEDGER t=5974487 tip=5974400, quorum=0.7
LEDGER t=5974488 tip=5974400, quorum=0.75
LEDGER t=5974492 tip=5974400, quorum=0.85
LEDGER t=5974519 tip=5974432, quorum=0.7
LEDGER t=5974520 tip=5974432, quorum=0.75
LEDGER t=5974524 tip=5974432, quorum=0.85
LEDGER t=5974551 tip=5974464, quorum=0.7
LEDGER t=5974553 tip=5974464, quorum=0.75
LEDGER t=5974556 tip=5974464, quorum=0.85
LEDGER t=5974583 tip=5974496, quorum=0.7
LEDGER t=5974584 tip=5974496, quorum=0.75
LEDGER t=5974588 tip=5974496, quorum=0.85
LEDGER t=5974615 tip=5974528, quorum=0.7
LEDGER t=5974617 tip=5974528, quorum=0.75
LEDGER t=5974620 tip=5974528, quorum=0.85
LEDGER t=5974647 tip=5974560, quorum=0.7
LEDGER t=5974649 tip=5974560, quorum=0.75
LEDGER t=5974652 tip=5974560, quorum=0.85
LEDGER t=5974679 tip=5974592, quorum=0.7
LEDGER t=5974681 tip=5974592, quorum=0.75
LEDGER t=5974684 tip=5974592, quorum=0.85
LEDGER t=5974711 tip=5974624, quorum=0.7
LEDGER t=5974713 tip=5974624, quorum=0.75
LEDGER t=5974716 tip=5974624, quorum=0.85
LEDGER t=5974743 tip=5974655, quorum=0.7
LEDGER t=5974745 tip=5974655, quorum=0.75
LEDGER t=5974748 tip=5974655, quorum=0.85
LEDGER t=5974776 tip=5974688, quorum=0.7
LEDGER t=5974778 tip=5974688, quorum=0.75
LEDGER t=5974781 tip=5974688, quorum=0.85
LEDGER t=5974808 tip=5974720, quorum=0.7
LEDGER t=5974810 tip=5974720, quorum=0.75
LEDGER t=5974813 tip=5974720, quorum=0.85
LEDGER t=5974839 tip=5974752, quorum=0.7
LEDGER t=5974840 tip=5974752, quorum=0.75
LEDGER t=5974844 tip=5974752, quorum=0.85
LEDGER t=5974872 tip=5974784, quorum=0.7
LEDGER t=5974873 tip=5974784, quorum=0.75
LEDGER t=5974876 tip=5974784, quorum=0.85
LEDGER t=5974903 tip=5974816, quorum=0.7
LEDGER t=5974904 tip=5974816, quorum=0.75
LEDGER t=5974908 tip=5974816, quorum=0.85
LEDGER t=5974935 tip=5974848, quorum=0.7
LEDGER t=5974937 tip=5974848, quorum=0.75
LEDGER t=5974940 tip=5974848, quorum=0.85
LEDGER t=5974967 tip=5974880, quorum=0.7
LEDGER t=5974969 tip=5974880, quorum=0.75
LEDGER t=5974972 tip=5974880, quorum=0.85
LEDGER t=5974999 tip=5974912, quorum=0.7
LEDGER t=5975000 tip=5974912, quorum=0.75
LEDGER t=5975004 tip=5974912, quorum=0.85
LEDGER t=5975031 tip=5974943, quorum=0.7
LEDGER t=5975033 tip=5974943, quorum=0.75
LEDGER t=5975037 tip=5974943, quorum=0.85
LEDGER t=5975063 tip=5974976, quorum=0.7
LEDGER t=5975065 tip=5974976, quorum=0.75
LEDGER t=5975068 tip=5974976, quorum=0.85
LEDGER t=5975096 tip=5975008, quorum=0.7
LEDGER t=5975098 tip=5975008, quorum=0.75
LEDGER t=5975101 tip=5975008, quorum=0.85
LEDGER t=5975127 tip=5975040, quorum=0.7
LEDGER t=5975129 tip=5975040, quorum=0.75
LEDGER t=5975132 tip=5975040, quorum=0.85
LEDGER t=5975159 tip=5975072, quorum=0.7
LEDGER t=5975160 tip=5975072, quorum=0.75
LEDGER t=5975164 tip=5975072, quorum=0.85
LEDGER t=5975191 tip=5975104, quorum=0.7
LEDGER t=5975192 tip=5975104, quorum=0.75
LEDGER t=5975196 tip=5975104, quorum=0.85
LEDGER t=5975223 tip=5975136, quorum=0.7
LEDGER t=5975225 tip=5975136, quorum=0.75
LEDGER t=5975228 tip=5975136, quorum=0.85
LEDGER t=5975255 tip=5975168, quorum=0.7
LEDGER t=5975257 tip=5975168, quorum=0.75
LEDGER t=5975260 tip=5975168, quorum=0.85
LEDGER t=5975287 tip=5975200, quorum=0.7
LEDGER t=5975289 tip=5975200, quorum=0.75
LEDGER t=5975292 tip=5975200, quorum=0.85
LEDGER t=5975319 tip=5975232, quorum=0.7
LEDGER t=5975321 tip=5975232, quorum=0.75
LEDGER t=5975324 tip=5975232, quorum=0.85
LEDGER t=5975351 tip=5975264, quorum=0.7
LEDGER t=5975353 tip=5975264, quorum=0.75
LEDGER t=5975356 tip=5975264, quorum=0.85
LEDGER t=5975383 tip=5975296, quorum=0.7
LEDGER t=5975384 tip=5975296, quorum=0.75
LEDGER t=5975388 tip=5975296, quorum=0.85
LEDGER t=5975416 tip=5975328, quorum=0.7
LEDGER t=5975417 tip=5975328, quorum=0.75
LEDGER t=5975420 tip=5975328, quorum=0.85
LEDGER t=5975447 tip=5975360, quorum=0.7
LEDGER t=5975449 tip=5975360, quorum=0.75
LEDGER t=5975452 tip=5975360, quorum=0.85
LEDGER t=5975479 tip=5975392, quorum=0.7
LEDGER t=5975481 tip=5975392, quorum=0.75
LEDGER t=5975484 tip=5975392, quorum=0.85
LEDGER t=5975511 tip=5975424, quorum=0.7
LEDGER t=5975513 tip=5975424, quorum=0.75
LEDGER t=5975516 tip=5975424, quorum=0.85
LEDGER t=5975543 tip=5975456, quorum=0.7
LEDGER t=5975545 tip=5975456, quorum=0.75
LEDGER t=5975548 tip=5975456, quorum=0.85
LEDGER t=5975575 tip=5975488, quorum=0.7
LEDGER t=5975577 tip=5975488, quorum=0.75
LEDGER t=5975580 tip=5975488, quorum=0.85
LEDGER t=5975607 tip=5975520, quorum=0.7
LEDGER t=5975609 tip=5975520, quorum=0.75
LEDGER t=5975612 tip=5975520, quorum=0.85
LEDGER t=5975639 tip=5975552, quorum=0.7
LEDGER t=5975641 tip=5975552, quorum=0.75
LEDGER t=5975644 tip=5975552, quorum=0.85
LEDGER t=5975671 tip=5975584, quorum=0.7
LEDGER t=5975673 tip=5975584, quorum=0.75
LEDGER t=5975676 tip=5975584, quorum=0.85
LEDGER t=5975703 tip=5975616, quorum=0.7
LEDGER t=5975705 tip=5975616, quorum=0.75
LEDGER t=5975708 tip=5975616, quorum=0.85
LEDGER t=5975735 tip=5975648, quorum=0.7
LEDGER t=5975737 tip=5975648, quorum=0.75
LEDGER t=5975740 tip=5975648, quorum=0.85
LEDGER t=5975767 tip=5975680, quorum=0.7
