PARTICIPATION epoch=186941, participation=0.9998759983952733
PARTICIPATION epoch=186942, participation=0.9913820141943296
PARTICIPATION epoch=186943, participation=0.9995605365465832
PARTICIPATION epoch=186944, participation=0.9994347233061758
PARTICIPATION epoch=186945, participation=0.9999361793687958
PARTICIPATION epoch=186946, participation=0.9976295539914664
PARTICIPATION epoch=186947, participation=0.9984282348822453
PARTICIPATION epoch=186948, participation=0.9995569218650855
PARTICIPATION epoch=186949, participation=0.9977974050222083
PARTICIPATION epoch=186950, participation=0.9992032119492681
PARTICIPATION epoch=186951, participation=0.9690004740546256
PARTICIPATION epoch=186952, participation=1
PARTICIPATION epoch=186953, participation=0.9998431996032585
PARTICIPATION epoch=186954, participation=0.9690957357585128
PARTICIPATION epoch=186955, participation=0.9991850025890298
PARTICIPATION epoch=186956, participation=0.9986052057731718
PARTICIPATION epoch=186957, participation=0.9875453080216166
PARTICIPATION epoch=186958, participation=0.9992123514954382
PARTICIPATION epoch=186959, participation=0.9991521839013398
PARTICIPATION epoch=186960, participation=1
PARTICIPATION epoch=186961, participation=0.9692324802905548
PARTICIPATION epoch=186962, participation=1
PARTICIPATION epoch=186963, participation=0.9986890757528243
PARTICIPATION epoch=186964, participation=0.999363682110898
PARTICIPATION epoch=186965, participation=0.9843728348782427
PARTICIPATION epoch=186966, participation=1
PARTICIPATION epoch=186967, participation=0.9701568733271586
PARTICIPATION epoch=186968, participation=1
PARTICIPATION epoch=186969, participation=0.9731014389171292
PARTICIPATION epoch=186970, participation=0.9846317378589088
PARTICIPATION epoch=186971, participation=1
PARTICIPATION epoch=186972, participation=0.9993144540793629
PARTICIPATION epoch=186973, participation=1
PARTICIPATION epoch=186974, participation=0.998823997024439
PARTICIPATION epoch=186975, participation=0.9989115135249459
PARTICIPATION epoch=186976, participation=0.9989990300254528
PARTICIPATION epoch=186977, participation=1
PARTICIPATION epoch=186978, participation=0.99971739463378
PARTICIPATION epoch=186979, participation=1
PARTICIPATION epoch=186980, participation=0.9683044407330965
PARTICIPATION epoch=186981, participation=0.9685378180677815
PARTICIPATION epoch=186982, participation=1
PARTICIPATION epoch=186983, participation=1
PARTICIPATION epoch=186984, participation=1
PARTICIPATION epoch=186985, participation=0.981204556559535
PARTICIPATION epoch=186986, participation=0.9994639848894787
PARTICIPATION epoch=186987, participation=0.9997174111212398
PARTICIPATION epoch=186988, participation=0.9999762993429449
PARTICIPATION epoch=186989, participation=1
PARTICIPATION epoch=186990, participation=0.9993637470739658
PARTICIPATION epoch=186991, participation=0.969883252025406
PARTICIPATION epoch=186992, participation=0.9947114157581944
PARTICIPATION epoch=186993, participation=1
PARTICIPATION epoch=186994, participation=1
PARTICIPATION epoch=186995, participation=1
PARTICIPATION epoch=186996, participation=1
PARTICIPATION epoch=186997, participation=0.9848481534142696
PARTICIPATION epoch=186998, participation=1
PARTICIPATION epoch=186999, participation=1
PARTICIPATION epoch=187000, participation=1
PARTICIPATION epoch=187001, participation=1
PARTICIPATION epoch=187002, participation=0.9940429425822057
PARTICIPATION epoch=187003, participation=0.9991815426007987
PARTICIPATION epoch=187004, participation=0.9999434918054003
PARTICIPATION epoch=187005, participation=1
PARTICIPATION epoch=187006, participation=1
PARTICIPATION epoch=187007, participation=0.9689733554748238
PARTICIPATION epoch=187008, participation=1
PARTICIPATION epoch=187009, participation=0.9990065494820386
PARTICIPATION epoch=187010, participation=0.9999763030151679
PARTICIPATION epoch=187011, participation=0.9989427499074907
PARTICIPATION epoch=187012, participation=1
PARTICIPATION epoch=187013, participation=1
PARTICIPATION epoch=187014, participation=1
PARTICIPATION epoch=187015, participation=0.9992143538105663
PARTICIPATION epoch=187016, participation=1
PARTICIPATION epoch=187017, participation=1
PARTICIPATION epoch=187018, participation=0.9999981771550129
PARTICIPATION epoch=187019, participation=0.9988898874028651
PARTICIPATION epoch=187020, participation=1
PARTICIPATION epoch=187021, participation=1
PARTICIPATION epoch=187022, participation=0.9998322982611881
PARTICIPATION epoch=187023, participation=0.9977050381612598
PARTICIPATION epoch=187024, participation=0.9996190253976992
PARTICIPATION epoch=187025, participation=1
PARTICIPATION epoch=187026, participation=0.9805994608024529
PARTICIPATION epoch=187027, participation=1
PARTICIPATION epoch=187028, participation=0.9991250344061992
PARTICIPATION epoch=187029, participation=0.9998632866259686
PARTICIPATION epoch=187030, participation=0.9687564369213606
PARTICIPATION epoch=187031, participation=1
PARTICIPATION epoch=187032, participation=1
PARTICIPATION epoch=187033, participation=1
PARTICIPATION epoch=187034, participation=0.9999963543100259
PARTICIPATION epoch=187035, participation=0.9996463680725055
PARTICIPATION epoch=187036, participation=0.9986602089344924
PARTICIPATION epoch=187037, participation=0.9998796922308524
PARTICIPATION epoch=187038, participation=0.99954975728819
PARTICIPATION epoch=187039, participation=0.9954064306325454
PARTICIPATION epoch=187040, participation=0.998437821846068
PARTICIPATION epoch=187041, participation=0.9978326373103558
PARTICIPATION epoch=187042, participation=0.9735213537176012
PARTICIPATION epoch=187043, participation=0.9989172300776714
PARTICIPATION epoch=187044, participation=0.9992745076951401
PARTICIPATION epoch=187045, participation=0.9996518366074667
PARTICIPATION epoch=187046, participation=1
PARTICIPATION epoch=187047, participation=0.9998979206807233
PARTICIPATION epoch=187048, participation=0.9984378446266048
PARTICIPATION epoch=187049, participation=0.9992690604784099
PARTICIPATION epoch=187050, participation=0.9988407213046625
PARTICIPATION epoch=187051, participation=0.9986074276600593
PARTICIPATION epoch=187052, participation=0.9998159060792916
PARTICIPATION epoch=187053, participation=0.9999198018376315
PARTICIPATION epoch=187054, participation=0.9985619221032026
PARTICIPATION epoch=187055, participation=0.9996810393378741
PARTICIPATION epoch=187056, participation=0.9992600220535299
PARTICIPATION epoch=187057, participation=0.9996391293174623
PARTICIPATION epoch=187058, participation=0.9990777883688337
PARTICIPATION epoch=187059, participation=0.9992527643163979
PARTICIPATION epoch=187060, participation=0.9690192747896832
PARTICIPATION epoch=187061, participation=0.99989976380708
PARTICIPATION epoch=187062, participation=0.9954985493300675
PARTICIPATION epoch=187063, participation=1
PARTICIPATION epoch=187064, participation=1
PARTICIPATION epoch=187065, participation=1
PARTICIPATION epoch=187066, participation=0.9984728762410159
PARTICIPATION epoch=187067, participation=0.99532393503805
PARTICIPATION epoch=187068, participation=0.9987444420147241
PARTICIPATION epoch=187069, participation=0.9849807658315156
PARTICIPATION epoch=187070, participation=1
PARTICIPATION epoch=187071, participation=0.9998068382890246
PARTICIPATION epoch=187072, participation=0.9997831486452258
PARTICIPATION epoch=187073, participation=0.9988136955297642
PARTICIPATION epoch=187074, participation=1
PARTICIPATION epoch=187075, participation=1
PARTICIPATION epoch=187076, participation=1
PARTICIPATION epoch=187077, participation=0.9992054857925917
PARTICIPATION epoch=187078, participation=0.9984474171910278
PARTICIPATION epoch=187079, participation=0.9997631035620113
PARTICIPATION epoch=187080, participation=1
PARTICIPATION epoch=187081, participation=1
PARTICIPATION epoch=187082, participation=0.9997503475999657
PARTICIPATION epoch=187083, participation=0.9999945331591233
PARTICIPATION epoch=187084, participation=0.9994587827532104
PARTICIPATION epoch=187085, participation=1
PARTICIPATION epoch=187086, participation=0.9999927108788311
PARTICIPATION epoch=187087, participation=0.9987244037954454
PARTICIPATION epoch=187088, participation=0.9972483567587465
PARTICIPATION epoch=187089, participation=0.9982633668815135
PARTICIPATION epoch=187090, participation=0.9980228258829403
PARTICIPATION epoch=187091, participation=0.9981412741019348
PARTICIPATION epoch=187092, participation=0.9993348676933393
PARTICIPATION epoch=187093, participation=0.9988136955297642
PARTICIPATION epoch=187094, participation=0.9770994035676603
PARTICIPATION epoch=187095, participation=0.9999544429926944
PARTICIPATION epoch=187096, participation=0.9988592525370698
PARTICIPATION epoch=187097, participation=0.9993312231327549
PARTICIPATION epoch=187098, participation=0.9997722149634723
PARTICIPATION epoch=187099, participation=0.9982688337223902
PARTICIPATION epoch=187100, participation=0.9997922600466869
PARTICIPATION epoch=187101, participation=0.9999471538715256
PARTICIPATION epoch=187102, participation=0.9990906821341818
PARTICIPATION epoch=187103, participation=0.9996592335853547
PARTICIPATION epoch=187104, participation=0.9998578621372067
PARTICIPATION epoch=187105, participation=1
PARTICIPATION epoch=187106, participation=0.9997795040846412
PARTICIPATION epoch=187107, participation=0.9995353185254837
PARTICIPATION epoch=187108, participation=0.9980064253603104
PARTICIPATION epoch=187109, participation=0.9977385501573539
PARTICIPATION epoch=187110, participation=0.9971062188959533
PARTICIPATION epoch=187111, participation=0.9995061620408081
PARTICIPATION epoch=187112, participation=0.9938936277609421
PARTICIPATION epoch=187113, participation=1
PARTICIPATION epoch=187114, participation=1
PARTICIPATION epoch=187115, participation=0.999987244781749
PARTICIPATION epoch=187116, participation=1
PARTICIPATION epoch=187117, participation=1
PARTICIPATION epoch=187118, participation=0.9998287231309412
PARTICIPATION epoch=187119, participation=0.9922416353422846
PARTICIPATION epoch=187120, participation=0.9774941466925396
PARTICIPATION epoch=187121, participation=0.9690330385920928
PARTICIPATION epoch=187122, participation=0.9992201890859268
PARTICIPATION epoch=187123, participation=0.9723258224909858
PARTICIPATION epoch=187124, participation=0.9997285267382943
PARTICIPATION epoch=187125, participation=0.9996501872045038
PARTICIPATION epoch=187126, participation=0.999123658842756
PARTICIPATION epoch=187127, participation=0.9999836030032011
PARTICIPATION epoch=187128, participation=1
PARTICIPATION epoch=187129, participation=0.9997977762676786
PARTICIPATION epoch=187130, participation=0.998764813583407
